paper	Miserables.txt 139, NotreDame_De_Paris.txt 9
papers	Miserables.txt 23, NotreDame_De_Paris.txt 2
paperwork	NotreDame_De_Paris.txt 1, Miserables.txt 1
paphos	Miserables.txt 1
papish	Miserables.txt 1
papyrus	Miserables.txt 1
paques	NotreDame_De_Paris.txt 1
paquette	NotreDame_De_Paris.txt 18
par	Miserables.txt 4, NotreDame_De_Paris.txt 2
para	NotreDame_De_Paris.txt 1, Miserables.txt 1
parables	Miserables.txt 1
parabola	Miserables.txt 1
parade	Miserables.txt 2, NotreDame_De_Paris.txt 1
paraded	NotreDame_De_Paris.txt 1
paradise	Miserables.txt 47, NotreDame_De_Paris.txt 14
paradises	Miserables.txt 2
paradisiacal	Miserables.txt 1
paradiso	NotreDame_De_Paris.txt 1
paradox	Miserables.txt 1
paragraph	Miserables.txt 12, NotreDame_De_Paris.txt 11
paragraphs	Miserables.txt 4, NotreDame_De_Paris.txt 3
parallel	Miserables.txt 8, NotreDame_De_Paris.txt 6
parallelism	NotreDame_De_Paris.txt 1, Miserables.txt 1
parallelisms	NotreDame_De_Paris.txt 1
parallelogram	NotreDame_De_Paris.txt 2
parallels	Miserables.txt 1
paralysis	Miserables.txt 2
paralyze	Miserables.txt 2
paralyzed	NotreDame_De_Paris.txt 1, Miserables.txt 1
paralyzes	Miserables.txt 2
parapet	Miserables.txt 13, NotreDame_De_Paris.txt 6
paraphernalia	NotreDame_De_Paris.txt 1, Miserables.txt 1
paraphrase	Miserables.txt 1
parasite	Miserables.txt 4
parasites	Miserables.txt 4
parasitic	Miserables.txt 2
parasitism	Miserables.txt 2
parasol	Miserables.txt 1
paratt	Miserables.txt 1
parbleu	Miserables.txt 13
parc	Miserables.txt 1
parce	Miserables.txt 1
parcel	Miserables.txt 3
parcelled	Miserables.txt 1
parcels	NotreDame_De_Paris.txt 1, Miserables.txt 1
parch	NotreDame_De_Paris.txt 1
parched	NotreDame_De_Paris.txt 1
parchment	NotreDame_De_Paris.txt 7, Miserables.txt 1
parchments	NotreDame_De_Paris.txt 3
parchous	NotreDame_De_Paris.txt 1
pardalisca	Miserables.txt 1
pardi	Miserables.txt 8
pardie	Miserables.txt 1
pardieu	Miserables.txt 10, NotreDame_De_Paris.txt 9
pardine	Miserables.txt 4
pardon	Miserables.txt 40, NotreDame_De_Paris.txt 18
pardonable	Miserables.txt 3
pardoned	Miserables.txt 8, NotreDame_De_Paris.txt 2
pardons	Miserables.txt 3
pare	Miserables.txt 1
pared	NotreDame_De_Paris.txt 1
parell	NotreDame_De_Paris.txt 1
parent	NotreDame_De_Paris.txt 1
parentheses	NotreDame_De_Paris.txt 3, Miserables.txt 1
parenthesis	Miserables.txt 5
parenthetically	Miserables.txt 1
parents	NotreDame_De_Paris.txt 8, Miserables.txt 7
parfaite	NotreDame_De_Paris.txt 1
pariah	Miserables.txt 1
paring	Miserables.txt 1
paris	Miserables.txt 413, NotreDame_De_Paris.txt 272
parish	Miserables.txt 10
parishes	Miserables.txt 3
parishioner	Miserables.txt 2
parishioners	Miserables.txt 1
parisi	NotreDame_De_Paris.txt 1
parisian	Miserables.txt 26, NotreDame_De_Paris.txt 15
parisians	Miserables.txt 12, NotreDame_De_Paris.txt 8
parisienne	Miserables.txt 2, NotreDame_De_Paris.txt 1
parisiensis	NotreDame_De_Paris.txt 1
parisis	NotreDame_De_Paris.txt 25
park	NotreDame_De_Paris.txt 2, Miserables.txt 2
parked	Miserables.txt 1
parks	NotreDame_De_Paris.txt 1, Miserables.txt 1
parlance	Miserables.txt 3
parle	NotreDame_De_Paris.txt 1
parley	NotreDame_De_Paris.txt 1
parleyed	Miserables.txt 1
parliament	NotreDame_De_Paris.txt 18, Miserables.txt 8
parliamentary	Miserables.txt 4
parliaments	NotreDame_De_Paris.txt 2, Miserables.txt 1
parloi	NotreDame_De_Paris.txt 1
parloir	NotreDame_De_Paris.txt 2
parlor	Miserables.txt 18
parmentier	Miserables.txt 1
parmentiere	Miserables.txt 1
parnasse	Miserables.txt 2
parny	Miserables.txt 1
parodied	Miserables.txt 3, NotreDame_De_Paris.txt 1
parodies	NotreDame_De_Paris.txt 1, Miserables.txt 1
parody	Miserables.txt 4, NotreDame_De_Paris.txt 1
parodying	Miserables.txt 1
paroles	NotreDame_De_Paris.txt 1
paroquet	Miserables.txt 3
paroquets	Miserables.txt 1
paroxysm	Miserables.txt 4
paroxysms	Miserables.txt 2
parrhisia	NotreDame_De_Paris.txt 1
parrhisian	NotreDame_De_Paris.txt 1
parricide	Miserables.txt 1
parricides	Miserables.txt 2
parried	Miserables.txt 1
parries	Miserables.txt 1
parrots	Miserables.txt 1
parry	NotreDame_De_Paris.txt 1
parsley	Miserables.txt 1
parsonage	Miserables.txt 4
part	Miserables.txt 166, NotreDame_De_Paris.txt 52
partaking	NotreDame_De_Paris.txt 1
parte	Miserables.txt 1
parted	Miserables.txt 13
parthenon	NotreDame_De_Paris.txt 6, Miserables.txt 2
parthian	Miserables.txt 1
parti	NotreDame_De_Paris.txt 4
partial	NotreDame_De_Paris.txt 1, Miserables.txt 1
partibus	Miserables.txt 1
participant	Miserables.txt 2
participate	Miserables.txt 1
participated	NotreDame_De_Paris.txt 1
participates	Miserables.txt 2
participation	NotreDame_De_Paris.txt 1, Miserables.txt 1
participles	Miserables.txt 1
particle	Miserables.txt 2
particular	Miserables.txt 26, NotreDame_De_Paris.txt 15
particularly	Miserables.txt 32, NotreDame_De_Paris.txt 5
particulars	Miserables.txt 3
parties	Miserables.txt 16, NotreDame_De_Paris.txt 1
parting	NotreDame_De_Paris.txt 1, Miserables.txt 1
partisan	Miserables.txt 3
partisans	NotreDame_De_Paris.txt 3
partition	Miserables.txt 16
partitions	Miserables.txt 4, NotreDame_De_Paris.txt 2
partly	Miserables.txt 5
partner	Miserables.txt 1
partook	Miserables.txt 2
partout	Miserables.txt 1
partridges	Miserables.txt 2
parts	Miserables.txt 22, NotreDame_De_Paris.txt 13
party	Miserables.txt 34, NotreDame_De_Paris.txt 1
