farmer	Miserables.txt 3, NotreDame_De_Paris.txt 2
farmers	Miserables.txt 3
farmhouse	Miserables.txt 1
farming	Miserables.txt 2
farms	Miserables.txt 3
farnese	Miserables.txt 2
farrier	NotreDame_De_Paris.txt 1, Miserables.txt 1
farriers	NotreDame_De_Paris.txt 1
farther	NotreDame_De_Paris.txt 7, Miserables.txt 3
farthing	Miserables.txt 8, NotreDame_De_Paris.txt 2
farthings	NotreDame_De_Paris.txt 6, Miserables.txt 2
fas	NotreDame_De_Paris.txt 1, Miserables.txt 1
fascinate	Miserables.txt 1
fascinated	NotreDame_De_Paris.txt 3, Miserables.txt 2
fascinating	Miserables.txt 2
fascination	NotreDame_De_Paris.txt 3, Miserables.txt 3
fashion	Miserables.txt 76, NotreDame_De_Paris.txt 35
fashionable	Miserables.txt 6, NotreDame_De_Paris.txt 1
fashioned	Miserables.txt 4, NotreDame_De_Paris.txt 2
fashioning	NotreDame_De_Paris.txt 1
fashions	Miserables.txt 6, NotreDame_De_Paris.txt 3
fast	Miserables.txt 49, NotreDame_De_Paris.txt 8
fasten	Miserables.txt 10
fastened	Miserables.txt 32, NotreDame_De_Paris.txt 13
fastening	Miserables.txt 3
fastenings	Miserables.txt 3
faster	NotreDame_De_Paris.txt 1, Miserables.txt 1
fastidious	Miserables.txt 1
fasting	Miserables.txt 6, NotreDame_De_Paris.txt 2
fasts	Miserables.txt 1
fat	Miserables.txt 12, NotreDame_De_Paris.txt 6
fatal	Miserables.txt 60, NotreDame_De_Paris.txt 18
fatalist	Miserables.txt 1
fatalities	Miserables.txt 3
fatality	Miserables.txt 15, NotreDame_De_Paris.txt 4
fatally	Miserables.txt 6
fate	Miserables.txt 46, NotreDame_De_Paris.txt 13
fated	Miserables.txt 1
fates	Miserables.txt 2
father	Miserables.txt 605, NotreDame_De_Paris.txt 46
fatherland	Miserables.txt 3
fathers	Miserables.txt 20, NotreDame_De_Paris.txt 3
fathom	Miserables.txt 4
fathomed	NotreDame_De_Paris.txt 1
fathomless	Miserables.txt 5
fathoms	Miserables.txt 11, NotreDame_De_Paris.txt 1
fatigue	Miserables.txt 33, NotreDame_De_Paris.txt 8
fatigued	Miserables.txt 14, NotreDame_De_Paris.txt 2
fatiguing	Miserables.txt 1
fatis	Miserables.txt 1
fatness	Miserables.txt 1
faton	Miserables.txt 1
fatten	NotreDame_De_Paris.txt 1
fatter	Miserables.txt 1
fatuity	NotreDame_De_Paris.txt 1, Miserables.txt 1
fatum	NotreDame_De_Paris.txt 1
faubin	NotreDame_De_Paris.txt 1
faublas	Miserables.txt 1
faubourg	Miserables.txt 60, NotreDame_De_Paris.txt 4
faubourgs	Miserables.txt 12, NotreDame_De_Paris.txt 2
faucet	Miserables.txt 3
faucets	Miserables.txt 1
fauchants	Miserables.txt 1
fauchelevant	Miserables.txt 1
fauchelevent	Miserables.txt 298
fauchelevents	Miserables.txt 1
fauchewhat	Miserables.txt 1
fault	Miserables.txt 74, NotreDame_De_Paris.txt 11
faults	Miserables.txt 17, NotreDame_De_Paris.txt 3
faulty	Miserables.txt 2
faun	NotreDame_De_Paris.txt 1, Miserables.txt 1
fauna	Miserables.txt 1
fauntleroy	Miserables.txt 1
fauq	Miserables.txt 1
faust	NotreDame_De_Paris.txt 2, Miserables.txt 1
faut	Miserables.txt 1
faute	Miserables.txt 8
fauvent	Miserables.txt 22
faux	Miserables.txt 5
faverolles	Miserables.txt 16
favor	Miserables.txt 31, NotreDame_De_Paris.txt 6
favorable	Miserables.txt 5, NotreDame_De_Paris.txt 3
favorably	Miserables.txt 3
favored	NotreDame_De_Paris.txt 6, Miserables.txt 4
favorite	Miserables.txt 8, NotreDame_De_Paris.txt 3
favorites	NotreDame_De_Paris.txt 1, Miserables.txt 1
favors	Miserables.txt 2
favourite	Miserables.txt 42
favyn	NotreDame_De_Paris.txt 1
fawn	NotreDame_De_Paris.txt 3, Miserables.txt 1
fawned	Miserables.txt 1
fawns	Miserables.txt 1
fe	Miserables.txt 2
fear	Miserables.txt 90, NotreDame_De_Paris.txt 30
feared	Miserables.txt 32, NotreDame_De_Paris.txt 10
fearful	Miserables.txt 20
fearfully	Miserables.txt 1
fearing	Miserables.txt 5
fears	Miserables.txt 9, NotreDame_De_Paris.txt 2
feast	NotreDame_De_Paris.txt 7, Miserables.txt 6
feasted	NotreDame_De_Paris.txt 1
feasting	NotreDame_De_Paris.txt 2, Miserables.txt 2
feasts	NotreDame_De_Paris.txt 2
feat	Miserables.txt 1
feather	Miserables.txt 5, NotreDame_De_Paris.txt 3
feathered	NotreDame_De_Paris.txt 1
featherless	Miserables.txt 1
feathers	Miserables.txt 5, NotreDame_De_Paris.txt 1
feats	Miserables.txt 4, NotreDame_De_Paris.txt 3
feature	Miserables.txt 7, NotreDame_De_Paris.txt 1
features	Miserables.txt 10, NotreDame_De_Paris.txt 5
febrile	Miserables.txt 1
february	Miserables.txt 23, NotreDame_De_Paris.txt 1
febves	NotreDame_De_Paris.txt 1
fecamp	Miserables.txt 1
fecund	Miserables.txt 2, NotreDame_De_Paris.txt 1
fecundated	Miserables.txt 1
fecundating	Miserables.txt 1
fecundity	Miserables.txt 1
fed	Miserables.txt 8, NotreDame_De_Paris.txt 1
federal	NotreDame_De_Paris.txt 2, Miserables.txt 2
federates	Miserables.txt 1
federation	Miserables.txt 1
fee	Miserables.txt 12, NotreDame_De_Paris.txt 9
feeble	Miserables.txt 32, NotreDame_De_Paris.txt 6
feebleness	Miserables.txt 6, NotreDame_De_Paris.txt 1
feebler	Miserables.txt 1
