g	Miserables.txt 13
gay	Miserables.txt 39, NotreDame_De_Paris.txt 9
gaye	Miserables.txt 1
gayer	NotreDame_De_Paris.txt 1
gayest	Miserables.txt 1
gayeties	Miserables.txt 5, NotreDame_De_Paris.txt 1
gayety	Miserables.txt 31, NotreDame_De_Paris.txt 7
gayly	Miserables.txt 12, NotreDame_De_Paris.txt 7
gaze	Miserables.txt 87, NotreDame_De_Paris.txt 26
gazed	Miserables.txt 120, NotreDame_De_Paris.txt 42
gazelle	NotreDame_De_Paris.txt 1
gazers	NotreDame_De_Paris.txt 1
gazes	Miserables.txt 12, NotreDame_De_Paris.txt 3
gazette	NotreDame_De_Paris.txt 1, Miserables.txt 1
gazettes	Miserables.txt 1
gazing	Miserables.txt 52, NotreDame_De_Paris.txt 29
gbnewby	NotreDame_De_Paris.txt 1, Miserables.txt 1
gear	Miserables.txt 1
gearing	Miserables.txt 6
geborand	Miserables.txt 3
ged	Miserables.txt 1
gedeon	Miserables.txt 1
geese	Miserables.txt 2, NotreDame_De_Paris.txt 1
gehenna	NotreDame_De_Paris.txt 1, Miserables.txt 1
gele	NotreDame_De_Paris.txt 1
gelenhausen	Miserables.txt 1
gellius	Miserables.txt 1
gemoniae	Miserables.txt 2
genaille	NotreDame_De_Paris.txt 1
genappe	Miserables.txt 19
gencienne	NotreDame_De_Paris.txt 2
gendarme	Miserables.txt 18, NotreDame_De_Paris.txt 10
gendarmeri	NotreDame_De_Paris.txt 1
gendarmerie	Miserables.txt 2
gendarmes	Miserables.txt 26, NotreDame_De_Paris.txt 2
general	Miserables.txt 107, NotreDame_De_Paris.txt 31
generale	Miserables.txt 1
generalissimo	Miserables.txt 3
generalizing	NotreDame_De_Paris.txt 1
generally	Miserables.txt 24, NotreDame_De_Paris.txt 8
generals	Miserables.txt 15, NotreDame_De_Paris.txt 1
generalship	Miserables.txt 1
generating	NotreDame_De_Paris.txt 2
generation	Miserables.txt 3, NotreDame_De_Paris.txt 2
generations	Miserables.txt 6, NotreDame_De_Paris.txt 4
generic	Miserables.txt 1
generis	NotreDame_De_Paris.txt 1
generosities	Miserables.txt 1
generosity	Miserables.txt 6
generous	Miserables.txt 25, NotreDame_De_Paris.txt 2
geneses	Miserables.txt 1
genesis	Miserables.txt 3, NotreDame_De_Paris.txt 1
genest	NotreDame_De_Paris.txt 1
genevi	NotreDame_De_Paris.txt 17
genevieve	Miserables.txt 9
genflot	Miserables.txt 5
genga	Miserables.txt 1
genial	Miserables.txt 1
genii	Miserables.txt 1
genio	NotreDame_De_Paris.txt 1
genius	Miserables.txt 32, NotreDame_De_Paris.txt 16
geniuses	Miserables.txt 10
genlis	Miserables.txt 5
gennevilliers	Miserables.txt 1
genoa	Miserables.txt 5
genoese	Miserables.txt 1
genoilhac	NotreDame_De_Paris.txt 1
genrot	Miserables.txt 9
genteel	Miserables.txt 1
gentilles	Miserables.txt 1
gentilly	NotreDame_De_Paris.txt 2, Miserables.txt 2
gentle	Miserables.txt 69, NotreDame_De_Paris.txt 15
gentleman	Miserables.txt 73, NotreDame_De_Paris.txt 13
gentlemen	Miserables.txt 33, NotreDame_De_Paris.txt 25
gentleness	Miserables.txt 14, NotreDame_De_Paris.txt 6
gentler	NotreDame_De_Paris.txt 1
gentlest	Miserables.txt 1
gentlewomen	Miserables.txt 1
gently	Miserables.txt 53, NotreDame_De_Paris.txt 20
gentry	NotreDame_De_Paris.txt 1
genuflection	Miserables.txt 1
genuflections	NotreDame_De_Paris.txt 1
genuine	Miserables.txt 14, NotreDame_De_Paris.txt 1
geoffrey	Miserables.txt 1
geoffroy	Miserables.txt 1
geographical	NotreDame_De_Paris.txt 1, Miserables.txt 1
geography	Miserables.txt 1
geological	Miserables.txt 1
geologists	Miserables.txt 2
geology	Miserables.txt 1
geometriam	NotreDame_De_Paris.txt 1
geometrical	NotreDame_De_Paris.txt 9, Miserables.txt 8
geometrician	Miserables.txt 1
geometry	Miserables.txt 4, NotreDame_De_Paris.txt 3
george	NotreDame_De_Paris.txt 2, Miserables.txt 1
georges	Miserables.txt 8
georgics	Miserables.txt 2
gerard	Miserables.txt 3
geraud	Miserables.txt 1
gerbaud	Miserables.txt 3
gerbe	Miserables.txt 1
gergeole	NotreDame_De_Paris.txt 1
gericault	Miserables.txt 1
germ	NotreDame_De_Paris.txt 3, Miserables.txt 3
germain	NotreDame_De_Paris.txt 22, Miserables.txt 15
germaine	NotreDame_De_Paris.txt 1
germainen	NotreDame_De_Paris.txt 1
germaini	NotreDame_De_Paris.txt 1
german	Miserables.txt 20, NotreDame_De_Paris.txt 3
germanic	Miserables.txt 2
germans	Miserables.txt 3, NotreDame_De_Paris.txt 2
germany	Miserables.txt 16, NotreDame_De_Paris.txt 1
germinate	Miserables.txt 3
germinating	Miserables.txt 1
germination	Miserables.txt 2
germoniae	Miserables.txt 1
germs	Miserables.txt 2
geronte	Miserables.txt 2
gertrude	Miserables.txt 1
gervais	Miserables.txt 29, NotreDame_De_Paris.txt 5
gervaise	NotreDame_De_Paris.txt 29
ges	NotreDame_De_Paris.txt 1
gesmas	Miserables.txt 5
gestas	Miserables.txt 2
gestation	Miserables.txt 1
gesticulated	Miserables.txt 2
gesticulating	NotreDame_De_Paris.txt 1
gesture	Miserables.txt 38, NotreDame_De_Paris.txt 21
gestures	NotreDame_De_Paris.txt 14, Miserables.txt 8
get	Miserables.txt 223, NotreDame_De_Paris.txt 34
gets	Miserables.txt 12
getting	Miserables.txt 47, NotreDame_De_Paris.txt 11
gewgaw	Miserables.txt 1
gewgaws	NotreDame_De_Paris.txt 1, Miserables.txt 1
gex	Miserables.txt 1
ghastly	Miserables.txt 1
gheldolf	NotreDame_De_Paris.txt 1
ghent	NotreDame_De_Paris.txt 15, Miserables.txt 3
ghetto	Miserables.txt 1
ghi	Miserables.txt 3
ghost	NotreDame_De_Paris.txt 2, Miserables.txt 2
ghosts	Miserables.txt 3, NotreDame_De_Paris.txt 1
ghoul	Miserables.txt 2
ghouls	Miserables.txt 1
gi	NotreDame_De_Paris.txt 1
gialluta	Miserables.txt 1
giant	Miserables.txt 13, NotreDame_De_Paris.txt 10
giantess	Miserables.txt 3
giants	Miserables.txt 9
gib	Miserables.txt 1
gibard	NotreDame_De_Paris.txt 3
gibbet	NotreDame_De_Paris.txt 32, Miserables.txt 8
gibbets	NotreDame_De_Paris.txt 7, Miserables.txt 2
gibbosities	Miserables.txt 1
gibelotte	Miserables.txt 12
gibet	NotreDame_De_Paris.txt 1
giborne	NotreDame_De_Paris.txt 4
gibou	Miserables.txt 1
giddiness	Miserables.txt 7
giddy	NotreDame_De_Paris.txt 3, Miserables.txt 3
gieffroy	NotreDame_De_Paris.txt 3
gif	NotreDame_De_Paris.txt 1
giffarde	NotreDame_De_Paris.txt 1
gift	Miserables.txt 6, NotreDame_De_Paris.txt 4
gifted	Miserables.txt 1
gifts	Miserables.txt 3, NotreDame_De_Paris.txt 1
gigantic	Miserables.txt 20, NotreDame_De_Paris.txt 18
gigotmuche	Miserables.txt 1
gil	Miserables.txt 1
gilbert	NotreDame_De_Paris.txt 2, Miserables.txt 1
gilbertus	NotreDame_De_Paris.txt 1
gild	NotreDame_De_Paris.txt 1
gilded	NotreDame_De_Paris.txt 19, Miserables.txt 19
gilding	Miserables.txt 5, NotreDame_De_Paris.txt 1
gillaume	NotreDame_De_Paris.txt 1
gillenorman	Miserables.txt 1
gillenormand	Miserables.txt 236
gillenormands	Miserables.txt 2
gilles	NotreDame_De_Paris.txt 7, Miserables.txt 1
gillet	NotreDame_De_Paris.txt 1
gilliflowers	Miserables.txt 1
gills	Miserables.txt 2
gillyflowers	Miserables.txt 1
gilt	NotreDame_De_Paris.txt 8, Miserables.txt 7
gimlet	Miserables.txt 2, NotreDame_De_Paris.txt 1
gimlets	NotreDame_De_Paris.txt 1
gin	Miserables.txt 1
gindre	Miserables.txt 1
gingerbread	Miserables.txt 1
giraffe	Miserables.txt 1
girandoles	Miserables.txt 1
girded	NotreDame_De_Paris.txt 1
girdle	NotreDame_De_Paris.txt 11, Miserables.txt 6
girdles	NotreDame_De_Paris.txt 1, Miserables.txt 1
girin	Miserables.txt 1
girl	Miserables.txt 225, NotreDame_De_Paris.txt 203
girlhood	Miserables.txt 1
girls	Miserables.txt 100, NotreDame_De_Paris.txt 21
girondists	Miserables.txt 1
gironin	NotreDame_De_Paris.txt 1
girorou	NotreDame_De_Paris.txt 1
gisors	Miserables.txt 1
gisquet	Miserables.txt 5
gisquette	NotreDame_De_Paris.txt 20
gist	NotreDame_De_Paris.txt 1
give	Miserables.txt 196, NotreDame_De_Paris.txt 65
given	Miserables.txt 127, NotreDame_De_Paris.txt 43
giver	Miserables.txt 1
gives	Miserables.txt 36, NotreDame_De_Paris.txt 7
giveth	NotreDame_De_Paris.txt 1
giving	Miserables.txt 45, NotreDame_De_Paris.txt 17
glaber	NotreDame_De_Paris.txt 1
glace	NotreDame_De_Paris.txt 1
glaces	Miserables.txt 2
glacial	Miserables.txt 10, NotreDame_De_Paris.txt 6
glacier	Miserables.txt 2
glaciere	Miserables.txt 6
glacis	Miserables.txt 1
glad	Miserables.txt 8, NotreDame_De_Paris.txt 4
glade	Miserables.txt 4
gladiator	Miserables.txt 3
gladly	NotreDame_De_Paris.txt 9, Miserables.txt 8
glance	Miserables.txt 161, NotreDame_De_Paris.txt 73
glanced	Miserables.txt 26, NotreDame_De_Paris.txt 7
glances	Miserables.txt 22, NotreDame_De_Paris.txt 16
glancing	NotreDame_De_Paris.txt 4, Miserables.txt 4
glandeve	Miserables.txt 1
glare	Miserables.txt 5, NotreDame_De_Paris.txt 1
glared	NotreDame_De_Paris.txt 2, Miserables.txt 2
glares	Miserables.txt 1
glaring	NotreDame_De_Paris.txt 2
glaris	Miserables.txt 1
glass	Miserables.txt 87, NotreDame_De_Paris.txt 32
glasses	Miserables.txt 18, NotreDame_De_Paris.txt 4
glassware	Miserables.txt 1
glassy	Miserables.txt 5, NotreDame_De_Paris.txt 1
glatigny	NotreDame_De_Paris.txt 3
glaueini	NotreDame_De_Paris.txt 1
glazed	Miserables.txt 5, NotreDame_De_Paris.txt 1
glazier	NotreDame_De_Paris.txt 1
glazing	Miserables.txt 1
gleam	Miserables.txt 32, NotreDame_De_Paris.txt 7
gleamed	NotreDame_De_Paris.txt 8, Miserables.txt 7
gleamest	Miserables.txt 1
gleaming	NotreDame_De_Paris.txt 3, Miserables.txt 2
gleams	Miserables.txt 18, NotreDame_De_Paris.txt 4
gleaned	Miserables.txt 1
glide	NotreDame_De_Paris.txt 3, Miserables.txt 2
glided	Miserables.txt 8, NotreDame_De_Paris.txt 2
glides	Miserables.txt 1
gliding	Miserables.txt 6, NotreDame_De_Paris.txt 1
glimmer	Miserables.txt 2
glimpse	Miserables.txt 48, NotreDame_De_Paris.txt 8
glimpses	Miserables.txt 12
glistened	NotreDame_De_Paris.txt 1, Miserables.txt 1
glistening	Miserables.txt 1
glitter	Miserables.txt 1
glittered	NotreDame_De_Paris.txt 6, Miserables.txt 4
